Model         : resnetbase
  load_state  : 
Dataset       : MaskDatasetA
  train_len         15120
  test_len           3780
Train_trans   : A_random_trans
Test_trans    : A_just_tensor
Start_Date    : 20210826_031737
Device        : cuda:0
CLASS_NUM     : 18
NUM_WORKERS   : 4
BATCH_SIZE    : 32
NUM_EPOCH     : 100
SAVE_INTERVAL : 3



[TEST ] Epoch 063 // (avg) Loss : 0.702, Accuracy : 0.789, F1 : 0.289
[TRAIN] Epoch 064 // (avg) Loss : 0.140, Accuracy : 0.951, F1 : 0.291
[TEST ] Epoch 064 // (avg) Loss : 1.119, Accuracy : 0.607, F1 : 0.289
[TRAIN] Epoch 065 // (avg) Loss : 0.151, Accuracy : 0.943, F1 : 0.290
[TEST ] Epoch 065 // (avg) Loss : 0.910, Accuracy : 0.723, F1 : 0.282
[TRAIN] Epoch 066 // (avg) Loss : 0.138, Accuracy : 0.949, F1 : 0.291
[TEST ] Epoch 066 // (avg) Loss : 0.731, Accuracy : 0.801, F1 : 0.284
[TRAIN] Epoch 067 // (avg) Loss : 0.135, Accuracy : 0.954, F1 : 0.291
[TEST ] Epoch 067 // (avg) Loss : 0.574, Accuracy : 0.851, F1 : 0.294
[TRAIN] Epoch 068 // (avg) Loss : 0.136, Accuracy : 0.951, F1 : 0.291
[TEST ] Epoch 068 // (avg) Loss : 0.581, Accuracy : 0.835, F1 : 0.290
[TRAIN] Epoch 069 // (avg) Loss : 0.131, Accuracy : 0.952, F1 : 0.290
[TEST ] Epoch 069 // (avg) Loss : 0.852, Accuracy : 0.710, F1 : 0.289
[TRAIN] Epoch 070 // (avg) Loss : 0.131, Accuracy : 0.954, F1 : 0.291
[TEST ] Epoch 070 // (avg) Loss : 0.630, Accuracy : 0.835, F1 : 0.290
[TRAIN] Epoch 071 // (avg) Loss : 0.128, Accuracy : 0.954, F1 : 0.291
[TEST ] Epoch 071 // (avg) Loss : 0.695, Accuracy : 0.798, F1 : 0.290
[TRAIN] Epoch 072 // (avg) Loss : 0.134, Accuracy : 0.951, F1 : 0.291
[TEST ] Epoch 072 // (avg) Loss : 0.719, Accuracy : 0.771, F1 : 0.286
[TRAIN] Epoch 073 // (avg) Loss : 0.125, Accuracy : 0.955, F1 : 0.291
[TEST ] Epoch 073 // (avg) Loss : 0.594, Accuracy : 0.828, F1 : 0.287
[TRAIN] Epoch 074 // (avg) Loss : 0.129, Accuracy : 0.952, F1 : 0.290
[TEST ] Epoch 074 // (avg) Loss : 0.642, Accuracy : 0.808, F1 : 0.291
[TRAIN] Epoch 075 // (avg) Loss : 0.123, Accuracy : 0.955, F1 : 0.291
[TEST ] Epoch 075 // (avg) Loss : 0.858, Accuracy : 0.757, F1 : 0.273
[TRAIN] Epoch 076 // (avg) Loss : 0.130, Accuracy : 0.954, F1 : 0.290
[TEST ] Epoch 076 // (avg) Loss : 0.577, Accuracy : 0.827, F1 : 0.292
[TRAIN] Epoch 077 // (avg) Loss : 0.115, Accuracy : 0.960, F1 : 0.291
[TEST ] Epoch 077 // (avg) Loss : 0.744, Accuracy : 0.748, F1 : 0.297
[TRAIN] Epoch 078 // (avg) Loss : 0.110, Accuracy : 0.963, F1 : 0.291
[TEST ] Epoch 078 // (avg) Loss : 0.713, Accuracy : 0.777, F1 : 0.298
[TRAIN] Epoch 079 // (avg) Loss : 0.106, Accuracy : 0.961, F1 : 0.291
[TEST ] Epoch 079 // (avg) Loss : 0.758, Accuracy : 0.742, F1 : 0.284
[TRAIN] Epoch 080 // (avg) Loss : 0.121, Accuracy : 0.958, F1 : 0.291
[TEST ] Epoch 080 // (avg) Loss : 0.610, Accuracy : 0.824, F1 : 0.294
[TRAIN] Epoch 081 // (avg) Loss : 0.104, Accuracy : 0.963, F1 : 0.291
[TEST ] Epoch 081 // (avg) Loss : 0.691, Accuracy : 0.768, F1 : 0.297
[TRAIN] Epoch 082 // (avg) Loss : 0.109, Accuracy : 0.961, F1 : 0.291
[TEST ] Epoch 082 // (avg) Loss : 0.758, Accuracy : 0.775, F1 : 0.290
[TRAIN] Epoch 083 // (avg) Loss : 0.113, Accuracy : 0.961, F1 : 0.291
[TEST ] Epoch 083 // (avg) Loss : 0.678, Accuracy : 0.821, F1 : 0.293
[TRAIN] Epoch 084 // (avg) Loss : 0.099, Accuracy : 0.966, F1 : 0.291
[TEST ] Epoch 084 // (avg) Loss : 0.730, Accuracy : 0.799, F1 : 0.294
[TRAIN] Epoch 085 // (avg) Loss : 0.103, Accuracy : 0.962, F1 : 0.291
[TEST ] Epoch 085 // (avg) Loss : 0.672, Accuracy : 0.813, F1 : 0.293
[TRAIN] Epoch 086 // (avg) Loss : 0.114, Accuracy : 0.958, F1 : 0.290
[TEST ] Epoch 086 // (avg) Loss : 0.795, Accuracy : 0.762, F1 : 0.295
[TRAIN] Epoch 087 // (avg) Loss : 0.093, Accuracy : 0.966, F1 : 0.291
[TEST ] Epoch 087 // (avg) Loss : 0.631, Accuracy : 0.827, F1 : 0.293
[TRAIN] Epoch 088 // (avg) Loss : 0.108, Accuracy : 0.963, F1 : 0.291
[TEST ] Epoch 088 // (avg) Loss : 0.706, Accuracy : 0.811, F1 : 0.292
[TRAIN] Epoch 089 // (avg) Loss : 0.096, Accuracy : 0.965, F1 : 0.291
[TEST ] Epoch 089 // (avg) Loss : 0.627, Accuracy : 0.835, F1 : 0.294
[TRAIN] Epoch 090 // (avg) Loss : 0.098, Accuracy : 0.966, F1 : 0.291
[TEST ] Epoch 090 // (avg) Loss : 0.560, Accuracy : 0.849, F1 : 0.295
